region;absolute;foreigners;invalid;youth;adult;old;longterms;percent
      Emmendingen, Landkreis;2580;439;205;42;253;547;525;3,3
      Ortenaukreis;8358;1451;538;101;707;1931;2459;4
      Rottweil, Landkreis;2324;431;225;54;249;481;631;3,4
      Schwarzwald-Baar-Kreis;3963;873;383;82;424;824;1075;4
      Tuttlingen, Landkreis;2118;463;192;27;184;454;532;3,2
      Konstanz, Landkreis;6057;1268;449;108;547;1362;1626;4,7
      Lörrach, Landkreis;4580;999;313;59;392;954;1316;4,1
      Waldshut, Landkreis;2766;572;163;49;283;629;601;3,4
    Tübingen, Regierungsbezirk;31999;6794;2409;487;3028;7002;8877;.
      Reutlingen, Landkreis;5724;1626;395;83;496;1092;1928;4,3
      Tübingen, Landkreis;3685;869;222;44;285;698;1181;3,6
      Zollernalbkreis;4236;771;458;70;420;955;1296;4,7
      Ulm, Universitätsstadt, Kreisfreie Stadt;2977;959;239;44;245;662;772;5,2
      Alb-Donau-Kreis;3105;624;222;64;384;754;689;3,3
      Biberach, Landkreis;2679;390;276;47;298;673;671;2,9
      Bodenseekreis;3069;556;158;36;249;740;831;3,1
      Ravensburg, Landkreis;3931;617;273;56;398;821;821;3
      Sigmaringen, Landkreis;2592;383;166;42;253;609;688;4,2
  Bayern;248840;49750;22279;4898;23893;55129;62934;4,2
    Oberbayern, Regierungsbezirk;81517;23023;5952;1351;6630;17148;20610;.
      Ingolstadt;2480;573;193;55;227;565;521;4,1
      München, Landeshauptstadt;36984;14893;2467;534;2514;6811;10688;5,6
      Rosenheim;1568;435;146;28;142;290;361;5,5
      Altötting, Landkreis;2050;248;175;45;237;466;513;4
      Berchtesgadener Land, Landkreis;1720;285;163;22;135;401;315;4,1
      Bad Tölz-Wolfratshausen, Landkreis;1753;274;143;22;137;446;405;3,2
      Dachau, Landkreis;1845;452;154;48;221;470;412;2,7
      Ebersberg, Landkreis;1611;304;129;26;122;413;362;2,7
      Eichstätt, Landkreis;856;115;64;23;98;200;110;1,4
      Erding, Landkreis;1451;212;155;27;144;336;300;2,3
      Freising, Landkreis;2165;506;192;38;184;497;355;2,6
      Fürstenfeldbruck, Landkreis;3352;736;214;57;283;786;899;3,5
      Garmisch-Partenkirchen, Landkreis;1612;241;114;31;145;399;335;4,2
      Landsberg am Lech, Landkreis;1594;182;110;38;174;390;361;3,1
      Miesbach, Landkreis;1402;221;112;18;110;400;338;3,3
      Mühldorf a.Inn, Landkreis;2166;306;191;35;227;404;603;4,2
      München, Landkreis;4799;1313;205;55;327;1052;983;3,3
      Neuburg-Schrobenhausen, Landkreis;1080;176;95;36;126;241;234;2,4
      Pfaffenhofen a.d.Ilm, Landkreis;1309;155;111;35;151;335;203;2,3
      Rosenheim, Landkreis;3612;482;301;72;377;836;858;3,2
      Starnberg, Landkreis;1724;333;100;23;115;393;474;3,2
      Traunstein, Landkreis;2604;312;262;43;234;641;610;3,4
      Weilheim-Schongau, Landkreis;1782;270;157;41;204;377;373;3
    Niederbayern, Regierungsbezirk;22099;2246;1959;539;2379;5268;4713;.
      Landshut;1591;353;153;29;142;361;401;5,3
      Passau;1361;205;75;25;125;263;314;6,2
      Straubing;1282;185;131;30;138;231;276;6,1
      Deggendorf, Landkreis;2246;214;200;58;248;496;364;4
      Freyung-Grafenau, Landkreis;1617;53;153;30;136;438;332;4,5
      Kelheim, Landkreis;1796;219;194;47;215;487;378;3,3
      Landshut, Landkreis;2039;203;194;52;231;511;492;2,8
      Passau, Landkreis;3828;275;259;90;405;969;834;4,4
      Regen, Landkreis;1552;86;133;28;140;358;303;4,3
      Rottal-Inn, Landkreis;2034;232;155;76;271;427;485;3,7
      Straubing-Bogen, Landkreis;1467;98;149;35;158;364;246;3,2
      Dingolfing-Landau, Landkreis;1285;122;163;39;172;363;288;2,7
    Oberpfalz, Regierungsbezirk;20600;1974;2113;432;2115;4694;4713;.
      Amberg;1311;154;110;22;112;281;351;6,6
      Regensburg;3325;656;331;49;267;628;832;5
      Weiden i.d.OPf.;1593;199;136;30;155;277;412;8
      Amberg-Sulzbach, Landkreis;1771;105;172;34;177;449;430;3,5
      Cham, Landkreis;2190;106;243;51;248;549;268;3,6
      Neumarkt i.d.OPf., Landkreis;1522;123;156;35;153;389;226;2,5
      Neustadt a.d.Waldnaab, Landkreis;2114;118;227;45;239;493;547;4,5
      Regensburg, Landkreis;2353;221;241;54;257;565;476;2,6
      Schwandorf, Landkreis;2602;194;314;73;319;630;586;3,8
      Tirschenreuth, Landkreis;1820;101;183;41;190;433;585;5,2
    Oberfranken, Regierungsbezirk;24536;2252;2450;439;2356;5820;6182;.
      Bamberg;1870;306;159;32;158;338;481;5,7
      Bayreuth;2204;316;261;26;172;461;585;6,8
      Coburg;1225;139;102;20;118;256;295;6,5
      Hof;1536;273;192;25;139;300;431;7,7
      Bamberg, Landkreis;2514;123;207;53;265;676;591;3,4
      Bayreuth, Landkreis;2047;93;250;36;206;523;471;4
      Coburg, Landkreis;1990;113;198;38;223;490;451;4,7
      Forchheim, Landkreis;1929;193;159;43;219;427;430;3,5
      Hof, Landkreis;2141;164;198;33;199;522;560;4,9
      Kronach, Landkreis;1559;81;190;30;152;403;340;4,6
      Kulmbach, Landkreis;1879;130;180;40;184;467;556;5,3
      Lichtenfels, Landkreis;1611;98;163;39;175;444;393;4,9
      Wunsiedel i.Fichtelgebirge, Landkreis;2030;222;191;26;146;516;598;6
    Mittelfranken, Regierungsbezirk;42695;10450;5025;905;4321;8830;12838;.
      Ansbach;899;148;92;20;105;202;195;4,7
      Erlangen;2288;505;296;35;210;498;795;4,4
      Fürth;4310;1145;454;104;457;769;1260;7,5
      Nürnberg;20666;7009;2445;430;2016;3781;7222;8,8
      Schwabach;913;189;105;18;84;203;298;5
      Ansbach, Landkreis;2798;292;347;70;291;747;688;3,2
      Erlangen-Höchstadt, Landkreis;1643;160;169;33;178;412;341;2,6
      Fürth, Landkreis;1986;226;265;36;201;501;439;3,7
      Nürnberger Land, Landkreis;2518;307;357;47;259;620;571;3,2
      Neustadt a.d.Aisch-Bad Windsheim, Landkreis;1281;98;147;38;172;247;237;2,7
      Roth, Landkreis;1837;174;205;36;180;499;434;3,1
      Weißenburg-Gunzenhausen, Landkreis;1556;197;144;39;168;350;358;3,5
    Unterfranken, Regierungsbezirk;24721;3445;2079;481;2618;5652;6116;.
      Aschaffenburg;2117;578;148;34;179;427;587;6,5
      Schweinfurt;1718;349;134;26;163;400;416;7,3
      Würzburg;3237;659;259;37;237;617;917;5,4
      Aschaffenburg, Landkreis;2767;430;242;51;271;687;664;3,3
      Bad Kissingen, Landkreis;2283;146;213;51;260;625;655;4,7
      Rhön-Grabfeld, Landkreis;1407;81;129;33;180;372;295;3,7
      Haßberge, Landkreis;1645;86;157;42;217;397;336;3,9
      Kitzingen, Landkreis;1457;161;152;30;145;332;312;3,4
      Miltenberg, Landkreis;2127;409;185;45;251;489;408;3,4
      Main-Spessart, Landkreis;1870;187;163;52;251;420;328;2,9
      Schweinfurt, Landkreis;1671;116;123;36;208;386;374;3
      Würzburg, Landkreis;2424;244;175;44;257;499;824;3,1
    Schwaben, Regierungsbezirk;32671;6360;2701;751;3473;7717;7763;.
      Augsburg;9212;2757;732;199;858;1875;2553;7,3
      Kaufbeuren;1285;243;105;43;161;285;360;6,6
      Kempten (Allgäu);1581;318;139;29;165;386;293;5,3
      Memmingen;828;195;55;15;83;196;185;4,2
      Aichach-Friedberg, Landkreis;1845;214;177;47;184;486;389;3
